name,lived_in,type,taxonomy,species,period_name,period_start,period_end,named,named_year,length_meters,continent_AF,continent_AQ,continent_AS,continent_EU,continent_NA,continent_OC,continent_SA,diet_carnivorous,diet_herbivorous,diet_omnivorous,diet_unknown
juravenator,Germany,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,starki,Late Jurassic,154.0,151.0,Göhlich &amp; Chiappe,2006.0,0.8,False,False,False,True,False,False,False,True,False,False,False
kentrosaurus,Tanzania,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,aethiopicus,Late Jurassic,155.0,150.0,Hennig,1915.0,5.0,True,False,False,False,False,False,False,False,True,False,False
khaan,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,mckennai,Late Cretaceous,81.0,75.0,Clark Norell and Barsbold,2001.0,1.8,False,False,True,False,False,False,False,False,False,True,False
kotasaurus,India,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda,yamanpalliensis,Early Jurassic,205.0,180.0,Yadagiri,1988.0,9.0,False,False,True,False,False,False,False,False,True,False,False
kritosaurus,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,navajovius,Late Cretaceous,78.0,74.0,Brown,1910.0,8.0,False,False,False,False,True,False,False,False,True,False,False
lambeosaurus,Canada,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,lambei,Late Cretaceous,76.0,74.0,Parks,1923.0,9.0,False,False,False,False,True,False,False,False,True,False,False
leaellynasaura,Australia,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,amicagraphica,Early Cretaceous,115.0,110.0,Rich and Rich,1989.0,2.0,False,False,False,False,False,True,False,False,True,False,False
leptoceratops,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,gracilis,Late Cretaceous,67.0,65.0,Brown,1914.0,3.0,False,False,False,False,True,False,False,False,True,False,False
ligabuesaurus,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,leanzai,Early Cretaceous,121.0,99.0,Bonaparte González Riga and Apesteguía,2006.0,24.0,False,False,False,False,False,False,True,False,True,False,False
liliensternus,Germany,small theropod,Dinosauria Saurischia Theropoda Neotheropoda,liliensterni,Late Triassic,205.0,202.0,Huene,1934.0,5.0,False,False,False,True,False,False,False,True,False,False,False
lophorhothon,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,atopus,Late Cretaceous,84.0,71.0,Xu Makovicky Wang Norell and You,1960.0,4.5,False,False,False,False,True,False,False,False,True,False,False
lophostropheus,France,large theropod,Dinosauria Saurischia,airelensis,Early Jurassic,203.0,196.0,Ezcurra and Cuny,2007.0,6.2,False,False,False,True,False,False,False,True,False,False,False
lufengosaurus,China,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,huenei,Early Jurassic,200.0,195.0,Young,1941.0,6.0,False,False,True,False,False,False,False,False,True,False,False
lurdusaurus,Niger,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,arenatus,Early Cretaceous,121.0,112.0,Taquet &amp; Russell,1999.0,9.0,True,False,False,False,False,False,False,False,True,False,False
